"","City","Longitude","Latitude"
"527","surat",110.167778,-7.6775
"528","surat",72.9,20.966667
"529","surat",61.116667,25.783333
"530","surat",52.644779,36.38283
"531","surat",35.75,34.2333333
"532","surat",51.0833333,10.8333333
"533","surat",99.233333,9.1
"534","new york city",NA,NA
"535","dar es salaam",41.5652778,-1.6633333
"536","dar es salaam",38.8333333,-5.25
"537","dar es salaam",39.2833333,-6.8
"538","baghdad",67.887872,34.217683
"539","baghdad",29.7988889,30.8786111
"540","baghdad",44.3938889,33.3386111
"541","baghdad",58.317355,33.771628
"542","baghdad",72.166667,30.566667
"543","hong kong",114.15,22.2833333
"544","riyadh",43.9166667,35.3
"545","riyadh",46.71522,24.653664
"546","shenyang",119.657043,27.831733
"547","shenyang",120.129411,32.35698
"548","shenyang",124.05,43.633333
"549","shenyang",117.898333,25.548333
"550","shenyang",123.432778,41.792222
"551","shenyang",108.348889,34.855556
"552","shenyang",116.421667,23.391184
"553","foshan",130.416667,48.916667
"554","foshan",98.806124,28.734011
"555","foshan",113.131483,23.026771
"556","dongguan",118.295667,29.763408
"557","dongguan",119.474636,30.386795
"558","dongguan",116.460324,27.827201
"559","dongguan",119.133333,34.683333
"560","dongguan",117.016667,38.216667
"561","dongguan",105.741754,35.522575
"562","dongguan",105.2,27.066667
"563","dongguan",112.445833,37.383889
"564","dongguan",106.106405,33.779925
"565","dongguan",116.880556,23.865278
"566","dongguan",103.649469,30.048612
"567","pune",-54.916667,1.966667
"568","pune",73.866667,18.533333
"569","santiago",-65.3333333,-13.0833333
"570","santiago",-68.1666667,-15.3666667
"571","santiago",-66.1333333,-17.9166667
"572","santiago",-59.5666667,-18.3166667
"573","santiago",-64.2166667,-21.7166667
"574","santiago",-38.35,-12.4
"575","santiago",-39.666667,-5.966667
"576","santiago",-44.816667,-1.966667
"577","santiago",-36.883333,-8.116667
"578","santiago",-41.083333,-6.9
"579","santiago",-54.883333,-29.183333
"580","santiago",-48.9,-28.416667
"581","santiago",-47.766667,-20.6
"582","santiago",-37.566667,-7.716667
"583","santiago",-70.666667,-33.45
"584","santiago",-75.155936,6.54254
"585","santiago",-76.777169,1.816722
"586","santiago",-75.448244,8.578211
"587","santiago",-77.748831,0.868583
"588","santiago",-72.716202,7.864318
"589","santiago",-77.0045,1.148444
"590","santiago",-74.911389,9.004722
"591","santiago",-72.45,5.05
"592","santiago",-84.444198,10.022746
"593","santiago",-83.80084,9.867927
"594","santiago",-84.1,10.016667
"595","santiago",-85.172378,9.664524
"596","santiago",-84.314281,9.846358
"597","santiago",-83.05,22.9333333
"598","santiago",-80.5208333,22.5061111
"599","santiago",-76.1469444,20.8902778
"600","santiago",-75.8219444,20.0247222
"601","santiago",-23.5333333,15.1333333
"602","santiago",-70.7,19.45
"603","santiago",-78.9833333,-1.7166667
"604","santiago",-79.3,-3.7833333
"605","santiago",-78.0408333,-3.0383333
"606","santiago",-6.635939,43.106339
"607","santiago",-3.788106,43.390367
"608","santiago",-4.138656,37.935798
"609","santiago",-16.843347,28.236663
"610","santiago",-3.935307,42.616187
"611","santiago",-7.923874,41.962659
"612","santiago",-2.584284,43.10942
"613","santiago",-91.883333,14.416667
"614","santiago",-90.8,14.55
"615","santiago",-91.233333,14.633333
"616","santiago",-89.45,15.1
"617","santiago",-87.0833333,15.6333333
"618","santiago",-87.9333333,15.25
"619","santiago",-87.3,13.8666667
"620","santiago",-88.25,14
"621","santiago",-87.95,14.1
"622","santiago",-88.6666667,14.2333333
"623","santiago",-88.5833333,14.9833333
"624","santiago",-72.2,19.3333333
"625","santiago",-102.333333,22.116667
"626","santiago",-116.433333,31.816667
"627","santiago",-109.716667,23.466667
"628","santiago",-92.083333,15.95
"629","santiago",-105.816667,26.866667
"630","santiago",-101.5,24.85
"631","santiago",-104.35,19.116667
"632","santiago",-103.7,24.866667
"633","santiago",-101,20.166667
"634","santiago",-100.283333,17.266667
"635","santiago",-99.266667,19.866667
"636","santiago",-103.366667,19.5
"637","santiago",-100.2,18.666667
"638","santiago",-101.483333,19.276389
"639","santiago",-99.083333,18.95
"640","santiago",-105.216667,21.816667
"641","santiago",-100.15,25.416667
"642","santiago",-95.666667,15.983333
"643","santiago",-97.433333,18.566667
"644","santiago",-100.6,21.683333
"645","santiago",-106.316667,24.1
"646","santiago",-110.416667,29.45
"647","santiago",-97.666667,25.766667
"648","santiago",-98.333333,19.216667
"649","santiago",-95.366667,17.816667
"650","santiago",-103.416667,21.6
"651","santiago",-86.7,12.3666667
"652","santiago",-86.3333333,11.95
"653","santiago",-80.9833333,8.1
"654","santiago",-73.1166667,-14.0166667
"655","santiago",-74.3,-13.0666667
"656","santiago",-75.7141667,-14.1886111
"657","santiago",-76.2333333,-12.1166667
"658","santiago",-76.5361111,-10.5908333
"659","santiago",-79.85,-4.55
"660","santiago",125.559167,9.265556
"661","santiago",122.101,11.1229
"662","santiago",120.667631,13.861214
"663","santiago",124.992778,8.437778
"664","santiago",120.816667,14.85
"665","santiago",121.752748,17.731805
"666","santiago",123.3645,13.3844
"667","santiago",120.904172,14.350828
"668","santiago",124.3066,10.5897
"669","santiago",126.573333,7.288889
"670","santiago",120.7406,18.0995
"671","santiago",120.4449,17.2939
"672","santiago",122.911667,11.058056
"673","santiago",121.932142,16.886954
"674","santiago",120.3361,16.4309
"675","santiago",124.4407,11.0665
"676","santiago",120.8072,15.4683
"677","santiago",118.648889,9.730833
"678","santiago",120.5201,14.8995
"679","santiago",120.783333,16.05
"680","santiago",121.2639,14.5207
"681","santiago",124.9775,10.3075
"682","santiago",120.628731,15.328559
"683","santiago",120.116667,15
"684","santiago",124.25,8.25
"685","santiago",122.533333,10.716667
"686","santiago",123.4577,13.4142
"687","santiago",121.2792,14.0211
"688","santiago",122.304678,14.059976
"689","santiago",121.557,16.6928
"690","santiago",125.582,10.3583
"691","santiago",-8.321657,41.427683
"692","santiago",-6.637555,41.341653
"693","santiago",-7.72766,40.424052
"694","santiago",-8.291294,41.219293
"695","santiago",-8.78632,41.627492
"696","santiago",-7.4,41.616667
"697","santiago",-7.900599,40.674612
"698","santiago",-56.783333,-27.15
"699","santiago",-88.95,13.5166667
"700","santiago",-88.0666667,13.5833333
"701","santiago",-88.4666667,13.4833333
"702","santiago",-111.9736111,33.6208333
"703","santiago",-93.3747222,41.71
"704","santiago",-83.7005556,44.1127778
"705","santiago",-93.8197222,45.5391667
"706","santiago",-93.4566667,38.4269444
"707","santiago",-80.2708333,40.4341667
"708","santiago",-67.0666667,18.4927778
"709","santiago",-80.2016667,39.3697222
"710","santiago",-56.35,-34.7902778
"711","santiago",-70.5291667,9.2544444
"712","haerbin",126.65,45.75
"713","madrid",-74.264192,4.732445
"714","madrid",-74.160371,4.448246
"715","madrid",-74.74685,9.192608
